pair_id,category,condition,query,input_tokens,output_tokens,mean_entropy,mean_retrieved_mass,mean_parametric_mass,p25_retrieved_mass,p75_retrieved_mass,output_text
disjoint_001,disjoint,fragmented,What is the primary cause of myocardial infarction?,292,48,1.8448,0.1633,0.8367,0.0217,0.222,"The primary cause of a myocardial infarction, or heart attack, is the blockage of blood flow to a segment of the heart due to a thrombus, which is often formed after the rupture of an"
disjoint_001,disjoint,coherent,What is the primary cause of myocardial infarction?,283,48,1.8394,0.1714,0.8286,0.0205,0.2297,"The primary cause of myocardial infarction is the rupture of an atherosclerotic plaque within a coronary artery, leading to platelet aggregation, thrombus formation, and artery"
disjoint_002,disjoint,fragmented,How does lithium ion intercalation work in battery cathodes?,248,48,1.8261,0.168,0.832,0.0196,0.2361,"During the discharge process of a battery, lithium ions (Li+) migrate from the anode through the electrolyte and are inserted into the layered host structure of the cathode material. This insertion"
disjoint_002,disjoint,coherent,How does lithium ion intercalation work in battery cathodes?,257,48,1.8995,0.195,0.805,0.022,0.2901,"During discharge in a lithium-ion battery, lithium ions travel from the anode through the electrolyte and insert into vacant sites in the layered cathode host. This process, called intercal"
disjoint_003,disjoint,fragmented,What is the mechanism of action of SSRIs?,250,48,1.7091,0.149,0.851,0.0183,0.1955,"The mechanism of action of SSRIs (Selective Serotonin Reuptake Inhibitors) involves blocking the transporter protein SERT (Serotonin Transporter), which is responsible for moving serotonin (5-HT"
disjoint_003,disjoint,coherent,What is the mechanism of action of SSRIs?,248,48,1.7882,0.1765,0.8235,0.0184,0.2422,"The mechanism of action of SSRIs involves the selective inhibition of the serotonin transporter (SERT). By blocking serotonin reuptake, SSRIs increase the amount of serotonin in the synapse"
disjoint_004,disjoint,fragmented,What role does the ribosome play in protein synthesis?,254,48,1.8088,0.1693,0.8307,0.0204,0.2358,"The ribosome is a cellular nanomachine that plays a central role in protein synthesis by catalyzing peptide bond formation as mRNA codons are decoded. It moves along the transcript, links am"
disjoint_004,disjoint,coherent,What role does the ribosome play in protein synthesis?,265,48,1.8129,0.1744,0.8256,0.0207,0.2381,"The ribosome is the cellular machine responsible for protein synthesis. During this process, it decodes the mRNA codons, accepts cognate aminoacyl-tRNAs, and catalyzes pept"
disjoint_005,disjoint,fragmented,How does a transformer attention head compute its output?,249,48,1.8125,0.1905,0.8095,0.0215,0.2746,"A transformer attention head computes its output by first projecting the input sequence into query, key, and value tensors. The dot-product of queries with keys produces a similarity matrix, which is softmax-normalized and"
disjoint_005,disjoint,coherent,How does a transformer attention head compute its output?,256,48,1.8999,0.2101,0.7899,0.0238,0.3156,"A transformer attention head computes its output by first projecting the input into Q, K, V tensors. Then, it computes the attention weights as the softmax of the dot product of queries and keys, divided by the"
disjoint_006,disjoint,fragmented,What does CRISPR-Cas9 do in gene editing?,246,48,1.7428,0.1539,0.8461,0.018,0.2054,"CRISPR-Cas9 is a gene editing tool that uses a single-guide RNA to direct Cas9 nuclease to a specific DNA sequence. Once bound, Cas9 introduces a double-strand break at that"
disjoint_006,disjoint,coherent,What does CRISPR-Cas9 do in gene editing?,261,48,1.8026,0.1769,0.8231,0.0199,0.2476,"CRISPR-Cas9 is a gene editing tool that uses a guide RNA to direct Cas9 nuclease to a specific DNA sequence. Cas9 then creates a double-strand break at that site, and the cell'"
disjoint_007,disjoint,fragmented,What causes the greenhouse effect?,240,48,1.7615,0.1612,0.8388,0.0213,0.2177,"The greenhouse effect is caused by certain atmospheric gases, such as CO2 and CH4, absorbing outgoing longwave radiation and re-emitting it in all directions, including back toward the surface. This process,"
disjoint_007,disjoint,coherent,What causes the greenhouse effect?,238,48,1.7706,0.1694,0.8306,0.0217,0.2293,"The greenhouse effect is caused by greenhouse gases, such as CO2, CH4, and water vapor, absorbing infrared radiation emitted from the Earth's surface and re-emitting a portion of it"
disjoint_008,disjoint,fragmented,How does the pancreas regulate blood glucose?,256,48,1.771,0.151,0.849,0.0197,0.2017,"The pancreas regulates blood glucose through its endocrine system, specifically the beta cells within the islets of Langerhans and the alpha cells. Beta cells release insulin in response to rising plasma gl"
disjoint_008,disjoint,coherent,How does the pancreas regulate blood glucose?,297,48,1.8499,0.1863,0.8137,0.0232,0.2653,"The pancreas regulates blood glucose by releasing insulin from beta cells when glucose levels rise, which promotes glucose uptake into muscle and adipose tissue and suppresses hepatic gl"
disjoint_009,disjoint,fragmented,What is quantum entanglement?,243,48,1.6594,0.1524,0.8476,0.0194,0.2028,Quantum entanglement is a phenomenon where two particles share a joint quantum wavefunction that cannot be factored into separate single-particle wavefunctions. Measuring one subsystem instantaneously influences the outcome of measurements on the other
disjoint_009,disjoint,coherent,What is quantum entanglement?,218,48,1.703,0.1673,0.8327,0.0195,0.2312,"Quantum entanglement is a phenomenon where two or more particles share a joint quantum state that cannot be factored into independent single-particle states. Measuring one particle will result in a correlated outcome on the other particle,"
disjoint_010,disjoint,fragmented,How do vaccines trigger immune memory?,264,48,1.7835,0.1746,0.8254,0.0207,0.2413,"Vaccines trigger immune memory by exposing the body to a vaccine antigen, which activates B and T lymphocytes bearing cognate receptors. A subset of these activated cells differentiates into long-l"
disjoint_010,disjoint,coherent,How do vaccines trigger immune memory?,256,48,1.7936,0.1765,0.8235,0.0201,0.2434,Vaccines trigger immune memory by introducing an antigen that activates B and T lymphocytes with cognate receptors. A subset of these activated lymphocytes differentiates into long-lived memory
