table,item,n,statistic,estimate,ci_low,ci_high,n_bootstrap,seed,ci_method
5_metric_agreement,DeBERTa / second NLI,7500,pearson_r,0.258666,0.240225,0.277546,10000,20260429,paired percentile bootstrap
5_metric_agreement,DeBERTa / second NLI,7500,spearman_rho,0.265295,0.245049,0.284927,10000,20260429,paired percentile bootstrap
5_metric_agreement,DeBERTa / RAGAS-style judge,7500,pearson_r,0.181871,0.161598,0.201804,10000,20260429,paired percentile bootstrap
5_metric_agreement,DeBERTa / RAGAS-style judge,7500,spearman_rho,0.212055,0.191069,0.233460,10000,20260429,paired percentile bootstrap
5_metric_agreement,Second NLI / RAGAS-style judge,7500,pearson_r,0.674177,0.661398,0.686447,10000,20260429,paired percentile bootstrap
5_metric_agreement,Second NLI / RAGAS-style judge,7500,spearman_rho,0.651497,0.637773,0.664919,10000,20260429,paired percentile bootstrap
6_human_calibration,DeBERTa-v3 NLI,99,pearson_r,0.145142,-0.016065,0.295511,10000,20260429,paired percentile bootstrap
6_human_calibration,DeBERTa-v3 NLI,99,spearman_rho,0.139851,-0.046556,0.313747,10000,20260429,paired percentile bootstrap
6_human_calibration,Second NLI,99,pearson_r,0.384934,0.225332,0.523228,10000,20260429,paired percentile bootstrap
6_human_calibration,Second NLI,99,spearman_rho,0.380137,0.208191,0.533601,10000,20260429,paired percentile bootstrap
6_human_calibration,RAGAS-style judge,99,pearson_r,0.337916,0.120666,0.542159,10000,20260429,paired percentile bootstrap
6_human_calibration,RAGAS-style judge,99,spearman_rho,0.441317,0.249061,0.623508,10000,20260429,paired percentile bootstrap
